New Page / CMS Entity,Live Source,Content Migrated,Admin Verification Needed
/about,https://suratcollege.metasofsda.in/institute-details,"Institution background, 1998 establishment, Metas umbrella, mission, vision, core values",Confirm current institutional profile wording
/about/directors-message,https://suratcollege.metasofsda.in/directors-message,"Director/leadership message for academic year 2023-24",Confirm current year, designation and portrait
/about/education-policy,https://suratcollege.metasofsda.in/education-policy,"Education policy and holistic service philosophy",Confirm final approved wording
/about/governing-body,https://suratcollege.metasofsda.in/governingbody,"Governing Body page and PDF link",Upload/confirm current governing body PDF
/about/legal-compliance,https://suratcollege.metasofsda.in/governing_pdf/Governing%20Body90650.pdf,"Minority Institution F.No. C-274 of 2006 and trust identity",Confirm current legal/accreditation wording
/iqac-accreditation,https://suratcollege.metasofsda.in/affiliations-and-accreditation,"AICTE, GTU, VNSGU, GNC, NAAC, AQAR and Mandatory Disclosure document categories",Replace broken/failed disclosure links
/iqac-accreditation,https://suratcollege.metasofsda.in/iqac-reports,"AQAR reports, annual reports, strategic plan, IQAC minutes and support documents",Confirm final AQAR 2023-24 accepted version
/academics/mba,https://suratcollege.metasofsda.in/course/MBA,"MBA duration, attendance, semester structure, passing, repeater, ACPC/CMAT and syllabus links",Rehost syllabus PDFs and verify current GTU/ACPC process
/academics/bba,https://suratcollege.metasofsda.in/course/BBA,"BBA attendance, examination progression, eligibility and syllabus link",Reconcile legacy live eligibility with current GTU BBA Honours rules
/academics/gnm,https://suratcollege.metasofsda.in/course/GNM,"GNM eligibility, reservation, foreign national rules, medical fitness, age, management quota steps",Verify duration, syllabus and current admission authority
/admissions,https://suratcollege.metasofsda.in/application-for-ug-pg/1/,"Apply Online and Quick Guide structure",Confirm 2026-27 links and dates
/admissions/cancellation-policy,https://suratcollege.metasofsda.in/cancellation-policy,"Cancellation/withdrawal/refund policy summary",Confirm current fee/refund table
/placements,https://suratcollege.metasofsda.in/student-wise-placement-information,"Placement cell overview, team, recruiter contact, internship program, placement process",Confirm public display of personal contact details
/research,https://suratcollege.metasofsda.in/research-and-development-cell,"R&D cell purpose",Replace legacy filler with approved R&D content
/research,https://suratcollege.metasofsda.in/research-and-development,"Research/faculty qualification profile records",Confirm current faculty employment/designation
/student-corner,https://suratcollege.metasofsda.in/iqac-members,"Student support menu and committee-document context",Confirm current committees and support-cell documents
/infrastructure,https://suratcollege.metasofsda.in/institute-details,"Infrastructure menu categories",Add current photos, timings and facility descriptions
/contact,https://suratcollege.metasofsda.in/contact.php,"Address, phones, emails, office hours",Confirm maps/social links
