title,authority,type,year,program,status,url,description
"AICTE EOA 2026-27 (MBA, BBA & BCA Programme)",AICTE,Approval / EOA,2026-27,"MBA, BBA, BCA",Current,https://suratcollege.metasofsda.in/affiliations_pdf/EOA%20Report%202026-202766369.pdf,Current AICTE Extension of Approval document; use exact official wording.
VNSGU Permission for B.Sc Nursing,VNSGU,Permission,2025-26,B.Sc Nursing,Current / Verify metadata,https://suratcollege.metasofsda.in/affiliations_pdf/VNSGU%20letter%20to%20ACPC85988.pdf,Permission document; scanned metadata should be added by admin.
GNC Permission for GNM & B.Sc Nursing,GNC,Permission,2025-26,"GNM, B.Sc Nursing",Current,https://suratcollege.metasofsda.in/affiliations_pdf/GNC%20202526395.pdf,Nursing permission document for current public compliance center.
GTU BBA Affiliation 2025-26,GTU,Affiliation,2025-26,BBA,Current,https://suratcollege.metasofsda.in/affiliations_pdf/872_BBA%20Affiliation%20Letter_2025-26_%2026-06-202577339.pdf,Current BBA affiliation; reconcile course page copy with GTU structure.
GTU MBA Affiliation 2025-26,GTU,Affiliation,2025-26,MBA,Current,https://suratcollege.metasofsda.in/affiliations_pdf/853_MBA%20Affiliation%20Letter_2025-26_22-06-202512117.pdf,Current MBA affiliation; do not edit statutory observations.
GTU MBA Affiliation 2024-25,GTU,Affiliation,2024-25,MBA,Archive,https://suratcollege.metasofsda.in/affiliations_pdf/853_MBA%20Affiliation%20Letter_2024-25_07-06-202417871.pdf,Prior-year affiliation kept for compliance archive.
AICTE EOA 2025-26 (MBA & BBA Programme),AICTE,Approval / EOA,2025-26,"MBA, BBA",Archive,https://suratcollege.metasofsda.in/affiliations_pdf/EOA%20Report%202025-2645128.pdf,Prior-year AICTE approval archive.
AICTE Mandatory Disclosure,AICTE / Internal,Mandatory Disclosure,Current required,Institution,Admin required - endpoint issue,https://suratcollege.metasofsda.in/affiliations-and-accreditation,Existing source should be replaced with a valid current PDF and proper file permissions.
AQAR Report 2023-2024,NAAC / IQAC,AQAR,2023-24,Institution,Verification required,https://suratcollege.metasofsda.in/iqac-reports,Audit identified this as needing admin confirmation before labeling final/accepted.
AQAR Report 2022-2023,NAAC / IQAC,AQAR,2022-23,Institution,Archive,https://suratcollege.metasofsda.in/iqac-reports,Chronological AQAR archive item.
Strategic Plan 2023-2028,IQAC / Internal,Strategic Plan,2023-28,Institution,Current plan,https://suratcollege.metasofsda.in/iqac-reports,Institutional planning document.
Institutional Development Plan of Metas Adventist College of Nursing,Internal,Institutional Development Plan,Admin date required,Nursing,Current / Verify date,https://suratcollege.metasofsda.in/newsPDF/INSTITUTIONAL%20%20DEVELOPMENT%20PLAN93365.pdf,Homepage notice document; add date and approval metadata.
The Communique Vol-04 Jan-Dec 2024,Internal,Newsletter,2024,Institution,Current newsletter,https://suratcollege.metasofsda.in/service/The%20Communique_Vol-04_Jan-Dec%20202415654.pdf,Latest verified newsletter in live feed.
Placement Cell PDF,Internal,Placement,Admin date required,Placement,Needs HTML migration,https://suratcollege.metasofsda.in/student_pdf/Placement-Cell.pdf,Migrate key information to the placement page and retain PDF as supporting document.
CII Membership,CII / Internal,Professional Membership,Admin date required,Institution,Verify current,https://suratcollege.metasofsda.in/service/MembershipCertificate82119.pdf,Publish only with current validity/metadata.
